DATE,PRODUIT,QUANTITE
2022-07-16 00:00:00,T08,0
2022-07-17 00:00:00,PR,0
2022-07-17 00:00:00,PR1,120
2022-07-17 00:00:00,PR2,466
2022-07-17 00:00:00,PR3,292
2022-07-17 00:00:00,T03,250
2022-07-17 00:00:00,T04,318
2022-07-17 00:00:00,T05,339
2022-07-17 00:00:00,T06,612
2022-07-17 00:00:00,T07,288
2022-07-17 00:00:00,T08,0
2022-07-18 00:00:00,PR,0
2022-07-18 00:00:00,PR1,100
2022-07-18 00:00:00,PR2,259
2022-07-18 00:00:00,PR3,148
2022-07-18 00:00:00,T03,166
2022-07-18 00:00:00,T04,214
2022-07-18 00:00:00,T05,170
2022-07-18 00:00:00,T06,252
2022-07-18 00:00:00,T07,70
2022-07-18 00:00:00,T08,0
2022-07-19 00:00:00,PR,0
2022-07-19 00:00:00,PR1,75
2022-07-19 00:00:00,PR2,115
2022-07-19 00:00:00,PR3,36
2022-07-19 00:00:00,T03,89
2022-07-19 00:00:00,T04,113
2022-07-19 00:00:00,T05,71
2022-07-19 00:00:00,T06,105
2022-07-19 00:00:00,T07,9
2022-07-19 00:00:00,T08,0
2022-07-20 00:00:00,PR,0
2022-07-20 00:00:00,PR1,72
2022-07-20 00:00:00,PR2,127
2022-07-20 00:00:00,PR3,80
2022-07-20 00:00:00,T03,87
2022-07-20 00:00:00,T04,65
2022-07-20 00:00:00,T05,72
2022-07-20 00:00:00,T06,122
2022-07-20 00:00:00,T07,46
2022-07-20 00:00:00,T08,0
2022-07-21 00:00:00,PR,0
2022-07-21 00:00:00,PR1,61
2022-07-21 00:00:00,PR2,164
2022-07-21 00:00:00,PR3,77
2022-07-21 00:00:00,T03,143
2022-07-21 00:00:00,T04,230
2022-07-21 00:00:00,T05,99
2022-07-21 00:00:00,T06,310
2022-07-21 00:00:00,T07,106
2022-07-21 00:00:00,T08,0
2022-07-22 00:00:00,PR,0
2022-07-22 00:00:00,PR1,161
2022-07-22 00:00:00,PR2,204
2022-07-22 00:00:00,PR3,113
2022-07-22 00:00:00,T03,189
